"","codCentro","codArticulo","num_roturas","num_servicios","porcent_roturas"
"6",2215,2,1,1,100
"14",2974,70,1,1,100
"27",6012,195,1,1,100
"31",7167,2,1,1,100
"35",7362,2,1,1,100
"42",8580,195,1,1,100
"48",8973,70,1,1,100
"57",10795,178,1,1,100
"58",11226,180,1,1,100
"63",13607,195,1,1,100
"67",15250,2,1,1,100
"73",17939,178,1,1,100
"80",43348,2,1,1,100
"13",2945,504,2,3,66.67
"47",8893,504,2,3,66.67
"1",863,2,1,2,50
"4",1790,70,1,2,50
"5",1853,184,1,2,50
"8",2643,2,1,2,50
"10",2845,180,1,2,50
"11",2850,70,1,2,50
"15",3326,504,1,2,50
"16",3368,504,1,2,50
"17",3396,504,1,2,50
"19",3771,70,1,2,50
"21",5859,70,1,2,50
"28",6161,504,1,2,50
"29",6205,504,1,2,50
"30",6301,504,1,2,50
"34",7347,70,1,2,50
"36",7689,2,1,2,50
"37",7708,180,1,2,50
"38",7763,2,1,2,50
"45",8612,195,1,2,50
"49",9606,70,1,2,50
"50",9606,2429,1,2,50
"55",9857,504,1,2,50
"56",10313,2,1,2,50
"62",12608,2,1,2,50
"65",13757,2,1,2,50
"68",15276,178,1,2,50
"69",15276,184,1,2,50
"74",17942,184,1,2,50
"75",20931,2,1,2,50
"76",20935,504,1,2,50
"7",2474,70,1,3,33.33
"12",2945,2,1,3,33.33
"18",3739,2,2,6,33.33
"32",7175,70,1,3,33.33
"33",7175,180,1,3,33.33
"39",8534,2494,1,3,33.33
"44",8610,2494,1,3,33.33
"46",8893,2,1,3,33.33
"51",9641,180,1,3,33.33
"52",9641,2429,1,3,33.33
"53",9720,574,1,3,33.33
"66",14860,2,1,3,33.33
"70",15733,70,1,3,33.33
"79",42679,2,1,3,33.33
"2",898,178,1,4,25
"20",4679,2,1,4,25
"43",8588,195,1,4,25
"71",16354,6,1,4,25
"72",16887,2,1,4,25
"3",981,72,1,6,16.67
"9",2662,504,1,6,16.67
"54",9776,504,1,6,16.67
"77",42177,4,1,7,14.29
"78",42177,71,1,7,14.29
"22",5895,71,1,8,12.5
"23",5895,504,1,8,12.5
"24",5895,574,1,8,12.5
"25",5895,575,1,8,12.5
"26",5908,504,1,8,12.5
"40",8571,70,1,8,12.5
"41",8571,71,1,8,12.5
"59",11313,4,1,8,12.5
"60",11313,70,1,8,12.5
"61",12113,71,1,8,12.5
"64",13657,686,1,8,12.5
