"","codCentro","codArticulo","num_roturas_no_promo","num_servicios_no_promo","num_roturas_promo","num_servicios_promo"
"1",10017,173,4,25,1,5
"2",10017,686,1,26,1,7
"3",10075,2,2,28,2,4
"4",10075,72,6,24,2,8
"5",10313,167,1,22,4,4
"6",10313,181,3,24,1,2
"7",10313,2,2,21,3,6
"8",10386,167,1,14,3,6
"9",10386,179,4,18,1,2
"10",10386,2,2,15,2,6
"11",10386,70,1,16,1,4
"12",10420,71,12,12,1,1
"13",10598,504,2,35,1,6
"14",10598,72,9,30,1,11
"15",10675,72,10,22,1,7
"16",10719,2429,3,8,1,2
"17",10719,503,1,9,2,2
"18",10732,72,1,6,1,2
"19",10751,72,3,6,2,4
"20",10771,72,1,2,1,2
"21",10927,71,3,14,1,1
"22",10931,574,1,11,1,2
"23",10931,71,3,11,2,2
"24",10943,504,4,16,1,5
"25",10998,167,2,10,1,2
"26",10998,2,2,10,2,2
"27",11016,71,1,42,1,2
"28",11173,184,4,6,5,8
"29",11226,180,3,18,1,1
"30",1125,178,1,12,1,3
"31",11282,167,1,7,3,5
"32",11282,179,3,11,1,1
"33",11282,2,2,9,1,3
"34",11303,2,2,24,1,5
"35",11313,70,1,9,1,3
"36",11317,167,1,9,1,2
"37",11810,70,1,9,1,1
"38",11858,167,1,18,1,2
"39",12101,5,1,24,1,2
"40",12113,169,1,17,1,1
"41",12113,71,2,9,1,1
"42",12257,2,1,22,2,4
"43",12264,167,2,10,2,3
"44",12310,167,4,17,3,4
"45",12310,72,1,16,2,6
"46",12312,70,11,14,2,2
"47",12378,179,12,16,2,2
"48",12378,180,10,17,1,1
"49",12378,503,6,15,1,3
"50",12378,574,6,16,1,2
"51",12508,180,1,20,2,2
"52",12508,2,1,13,2,11
"53",12508,2429,3,17,1,5
"54",12508,70,1,18,2,4
"55",12508,72,2,8,1,14
"56",12566,181,4,18,1,4
"57",12566,2977,3,26,1,1
"58",12566,528,1,10,2,7
"59",12608,2,3,11,1,3
"60",12624,173,4,11,1,1
"61",12678,185,1,4,1,1
"62",12680,185,1,8,1,2
"63",13537,167,3,38,1,5
